battery_id,Cycle,SOH,ambient_temperature,Rct,charge_current(A),discharge_current(A),discharge_voltage(V),discharge capacity,charge capacity,Coulombic efficiency,,,,,,,,,,,,
B0029,1,100,43,0.0402604689,1.5,4,2,1.746650947,1.917801906,91.07567058,,,,,,,,,,,,
B0029,2,108.6711776,43,0.0402604689,1.5,4,2,1.892636307,1.896421891,99.80038286,,,,,,,,,,,,
B0029,3,107.5363642,43,0.0402604689,1.5,4,2,1.873098299,1.882355888,99.50819136,,,,,,,,,,,,
B0029,4,106.96569,43,0.0402604689,1.5,4,2,1.863450192,1.874555945,99.40755288,,,,,,,,,,,,
B0029,5,106.8212961,43,0.0402604689,1.5,4,2,1.849357716,1.860423915,99.40517861,,,,,,,,,,,,
B0029,6,106.9311883,43,0.0402127062,1.5,4,2,1.864328378,1.882970125,99.00998177,,,,,,,,,,,,
B0029,7,106.8821183,43,0.0401649435,1.5,4,2,1.852334418,1.859834799,99.59671788,,,,,,,,,,,,
B0029,8,106.116985,43,0.0401171808,1.5,4,2,1.839104632,1.849028077,99.46331564,,,,,,,,,,,,
B0029,9,105.3400976,43,0.0400694181,1.5,4,2,1.825951681,1.833147848,99.60744207,,,,,,,,,,,,
B0029,10,104.6282055,43,0.0400216554,1.5,4,2,1.814932632,1.817096668,99.88090697,,,,,,,,,,,,
B0029,11,105.1707236,43,0.040153383,1.5,4,2,1.835197612,1.848743019,99.26731801,,,,,,,,,,,,
B0029,12,104.2594401,43,0.0402851106,1.5,4,2,1.819447394,1.82691904,99.5910248,,,,,,,,,,,,
B0029,13,103.4766174,43,0.0404168382,1.5,4,2,1.806104429,1.814016291,99.56384839,,,,,,,,,,,,
B0029,14,103.3480854,43,0.0405485658,1.5,4,2,1.79310048,1.801515247,99.53290614,,,,,,,,,,,,
B0029,15,102.4612688,43,0.0406802934,1.5,4,2,1.789255297,1.796027327,99.62294397,,,,,,,,,,,,
B0029,16,104.846941,43,0.0407025935,1.5,4,2,1.818966598,1.839962157,98.85891353,,,,,,,,,,,,
B0029,17,104.0177452,43,0.0407248936,1.5,4,2,1.806052654,1.813357808,99.59714767,,,,,,,,,,,,
B0029,18,103.2333768,43,0.0407471937,1.5,4,2,1.792227504,1.798516999,99.65029549,,,,,,,,,,,,
B0029,19,102.3865458,43,0.0407694939,1.5,4,2,1.777842924,1.786660355,99.50648532,,,,,,,,,,,,
B0029,20,101.9860952,43,0.040791794,1.5,4,2,1.770688183,1.779634704,99.49728333,,,,,,,,,,,,
B0029,21,102.3802882,43,0.0407073079,1.5,4,2,1.789626567,1.802756564,99.27167108,,,,,,,,,,,,
B0029,22,101.4680194,43,0.0406228218,1.5,4,2,1.763152815,1.771774026,99.51341361,,,,,,,,,,,,
B0029,23,101.2320444,43,0.0405383358,1.5,4,2,1.75847296,1.767960801,99.46334555,,,,,,,,,,,,
