Unnamed: 0,battery_id,Cycle,RUL,RUL_diff,SOH,SOH_diff,ambient_temperature,Rct,discharge_current,discharge_voltage,charge_time,charge_time_diff,discharge_time,discharge_time_diff,max_temp_c,max_temp_c_diff,time_c,max_temp_d,max_temp_d_diff,time_d,Capacity
0,B0005,1,,,,,24,0.076274741,2,2.7,7597.875,,,,27.44513403,,869.766,,,,
1,B0005,2,100,,100,,24,0.076274741,2,2.7,10516,2918.125,3346.937,,29.34194896,1.89681493,8.391,38.98218133,,3366.781,
2,B0005,3,99,-1,99.45272071,-0.54727929,24,0.076274741,2,2.7,10484.547,-31.453,3328.828,-18.109,29.55330073,0.21135177,0,39.03339797,0.05121664,3348.735,
3,B0005,4,98,-1,98.86138595,-0.59133476,24,0.076274741,2,2.7,10397.89,-86.657,3309.422,-19.406,29.45634029,-0.09696044,0,38.81879669,-0.21460128,3329.281,
4,B0005,5,97,-1,98.85671764,-0.00466831,24,0.076274741,2,2.7,10495.203,97.313,3309.719,0.297,29.48133351,0.02499322,0,38.76230451,-0.05649218,3329.5,
5,B0005,6,96,-1,98.82348179,-0.03323585,24,0.076274741,2,2.7,10792.672,297.469,3307.688,-2.031,29.39582043,-0.08551308,0,38.66539257,-0.09691194,3327.531,
6,B0005,7,95,-1,98.87821697,0.05473518,24,0.076274741,2,2.7,10789.985,-2.687,3309.25,1.562,29.43842412,0.04260369,0,38.75169505,0.08630248,3329.047,
7,B0005,8,94,-1,98.85044856,-0.02776841,24,0.076274741,2,2.7,10127.562,-662.423,3308.422,-0.828,29.51081056,0.07238644,8.375,38.82070123,0.06900618,3328.156,
8,B0005,9,93,-1,98.34468955,-0.50575901,24,0.076274741,2,2.7,10147.953,20.391,3291.484,-16.938,29.66881379,0.15800323,0,38.51713023,-0.303571,3311.328,
9,B0005,10,92,-1,98.29174346,-0.05294609,24,0.076274741,2,2.7,10162.094,14.141,3289.891,-1.593,29.77928874,0.11047495,0,38.5262679,0.00913767,3309.625,
10,B0005,11,91,-1,98.28309355,-0.00864991,24,0.076274741,2,2.7,10119.375,-42.719,3290.188,0.297,29.71100043,-0.06828831,0,38.52698128,0.00071338,3310.016,
11,B0005,12,90,-1,98.28343205,0.0003385,24,0.076274741,2,2.7,10013.235,-106.14,3290.234,0.046,30.37677905,0.66577862,0,38.54143407,0.01445279,3310.016,
12,B0005,13,89,-1,97.7222854,-0.56114665,24,0.076274741,2,2.7,9952.359,-60.876,3271.016,-19.218,30.05302011,-0.32375894,0,38.52197452,-0.01945955,3290.844,
13,B0005,14,88,-1,97.69805803,-0.02422737,24,0.076274741,2,2.7,10758.031,805.672,3270.813,-0.203,30.16846884,0.11544873,8.312,38.58248583,0.06051131,3290.578,
14,B0005,15,87,-1,97.68127008,-0.01678795,24,0.076274741,2,2.7,9921.75,-836.281,3270.312,-0.501,30.06078601,-0.10768283,0,38.52029413,-0.0621917,3290.141,
15,B0005,16,86,-1,97.09723769,-0.58403239,24,0.076274741,2,2.7,10000.25,78.5,3251.063,-19.249,29.84105304,-0.21973297,0,38.21358593,-0.3067082,3270.859,
16,B0005,17,85,-1,97.07078432,-0.02645337,24,0.076274741,2,2.7,9936.031,-64.219,3249.985,-1.078,29.90236309,0.06131005,0,38.19836187,-0.01522406,3269.766,
17,B0005,18,84,-1,97.09624103,0.02545671,24,0.076274741,2,2.7,9989.532,53.501,3250.438,0.453,30.10830746,0.20594437,0,38.31926916,0.12090729,3270.266,
18,B0005,19,83,-1,97.12257105,0.02633002,24,0.076274741,2,2.7,10158.782,169.25,3251.094,0.656,30.32132378,0.21301632,0,38.47875425,0.15948509,3270.812,
19,B0005,20,82,-1,97.10691301,-0.01565804,24,0.076274741,2,2.7,10289.312,130.53,3250.766,-0.328,29.01875034,-1.30257344,3319.828,38.54659018,0.06783593,3270.594,
20,B0005,21,81,-1,99.49035874,2.38344573,24,0.076274741,2,2.7,10283.078,-6.234,3330.046,79.28,29.35647196,0.33772162,3494.703,38.44749852,-0.09909166,3349.875,
21,B0005,22,80,-1,99.51143706,0.02107832,24,0.074533889,2,2.7,10281.39,-1.688,3331.172,1.126,29.32754285,-0.02892911,3463.781,38.99227579,0.54477727,3350.938,
22,B0005,23,79,-1,98.90599854,-0.60543852,24,0.073426641,2,2.7,10081.797,-199.593,3311.344,-19.828,28.93850652,-0.38903633,3456.734,38.51424197,-0.47803382,3331.203,
23,B0005,24,78,-1,98.34598,-0.56001854,24,0.074647784,2,2.7,10797.328,715.531,3292.532,-18.812,28.75478997,-0.18371655,3403.907,38.16581614,-0.34842583,3312.547,
24,B0005,25,77,-1,98.31004633,-0.03593367,24,0.073956876,2,2.7,10099.218,-698.11,3291.172,-1.36,28.68860237,-0.0661876,3419.984,38.16526204,-0.0005541,3310.969,
25,B0005,26,76,-1,98.33524772,0.02520139,24,0.072081122,2,2.7,10078.719,-20.499,3292.187,1.015,28.63340709,-0.05519528,3397.906,38.27549579,0.11023375,3311.906,
